Palmitoyl hexapeptide-12,,DI-PALMITOYL-3-SN-PHOSPHATIDYLETHANOLAMINE(C37 H74 N O8 P)
Palmitoyl hexapeptide-12,,"1,2-DIPALMITOYL-PHOSPHATIDYL-GLYCEROLE(C38 H75 O10 P)"
